estacao,tipo,lat,lon
Itaquera,metro,-23.540504,-46.470651
Artur Alvim,metro,-23.540492,-46.484299
Patriarca,metro,-23.531037,-46.501434
Guilhermina – Esperança,metro,-23.529349,-46.516262
Vila Matilde,metro,-23.531857,-46.530961
Penha,metro,-23.533582,-46.542608
Carrao,metro,-23.537851,-46.564398
Tatuape,metro,-23.540271,-46.576747
Belem,metro,-23.542720,-46.589922
Bresser-Mocca,metro,-23.546340,-46.607807
Bras,metro,-23.547855,-46.615950
Pedro II,metro,-23.549713,-46.626180
Se,metro,-23.550126,-46.633422
Anhagabau,metro,-23.547826,-46.639268
Republica,metro,-23.544023,-46.642927
Santa Cecilia,metro,-23.539220,-46.649229
Marechal Deodoro,metro,-23.533963,-46.655676
Barra Funda,metro,-23.525497,-46.667405
Osasco,trem,-23.536111,-46.634722
Presidente Altino,trem,-23.531251,-46.761751
Ceasa,trem,-23.537412,-46.742604
Villa Lobos,trem,-23.546009,-46.732798
Cidade Universitaria,trem,-23.557639,-46.711764
Pinheiros,trem,-23.536111,-46.634722
Hebraica Rebouca,trem,-23.573682,-46.698586
Cidade Jardim,trem,-23.583404,-46.691036
Vila Olimpia,trem,-23.593477,-46.692710
Berrini,trem,-23.605460,-46.695739
Morumbi,trem,-23.586111,-46.723889
Granja Julieta,trem,-23.630612,-46.707756
Santo Amaro,trem,-23.655933,-46.718782
Socorro,trem,-23.663486,-46.710815
Jurubatuba,trem,-23.677425,-46.702234
Autodromo,trem,-23.706166,-46.688364
Interlagos,trem,-23.723465,-46.691734
Grajau,trem,-23.737377,-46.697608
Lapa,trem,-23.520109,-46.698917
Tucuruvi,metro,-23.4805106,-46.6058927
Parada Inglesa,metro,-23.4869427,-46.61102
Jardim São Paulo Ayrton Senna,metro,-23.4922867,-46.6188522
Santana,metro,-23.5025905,-46.6269318
Carandiru,metro,-23.509149,-46.6271257
Portuguesa-Tietê,metro,-23.5161069,-46.6273934
Armênia,metro,-23.525464,-46.6314887
Tiradentes,metro,-23.5308419,-46.6346843
Luz,metro,-23.5350794,-46.637498
São Bento,metro,-23.5443802,-46.6363122
Japão - Liberdade,metro,-23.5551495,-46.6381383
São Joaquim,metro,-23.5618724,-46.6408609
Vergueiro,metro,-23.5688658,-46.6421106
Paraíso,metro,-23.5757724,-46.6430708
Ana Rosa,metro,-23.5816685,-46.6400255
Vila Mariana,metro,-23.5901137,-46.6349646
Santa Cruz,metro,-23.5989093,-46.6390218
Praça da Árvore,metro,-23.6105101,-46.6401227
Saúde,metro,-23.5889904,-46.7235389
São Judas,metro,-23.625627,-46.6430309
Conceição,metro,-23.635197,-46.6434574
Jabaquara,metro,-23.6461957,-46.6429712
Vila Madalena,metro,-23.5465338,-46.6929279
Sumaré,metro,-23.5507519,-46.6800909
Clínicas,metro,-23.5542857,-46.673181
Consolação,metro,-23.5590163,-46.6616335
Trianon – Masp,metro,-23.5635276,-46.6549333
Brigadeiro,metro,-23.5665064,-46.6535021
Paraíso,metro,-23.5743487,-46.6442685
Ana Rosa,metro,-23.5797044,-46.6416529
Chácara Klabin,metro,-23.5925471,-46.6324322
Santos – Imigrantes,metro,-23.5966571,-46.6235047
Alto do Ipiranga,metro,-23.6008693,-46.6169568
Sacomã,metro,-23.6028919,-46.6050656
Tamanduateí,metro,-23.5932344,-46.5907629
Vila Prudente,metro,-23.5873063,-46.5857487
São Paulo-Morumbi,metro,-23.586072,-46.723449
Butantã,metro,-23.571565,-46.708142
Pinheiros,metro,-23.567123,-46.701915
Faria Lima,metro,-23.567129,-46.693322
Fradique Coutinho,metro,-23.565941,-46.684249
Oscar Freire,metro,-23.560668,-46.672020
Paulista,metro,-23.555119,-46.662071
Higienópolis-Mackenzie,metro,-23.548779,-46.652222
